Customer_ID,Gender,Age,Vintage,Is_Active,City_Category,Customer_Category,Product_Holding_B1,Product_Holding_B2
CC264719,Male,41,14,0,C1,S3,['P16'],['P8']
CC209679,Female,47,14,1,C1,S2,"['P13', 'P20']",['P3']
CC319633,Female,59,14,0,C2,S2,['P11'],['P00']
CC231413,Female,32,16,0,C1,S2,"['P8', 'P13']",['P6']
CC259633,Male,30,15,0,C2,S3,"['P16', 'P17', 'P21']","['P8', 'P12']"
CC384429,Female,28,12,0,C1,S2,['P17'],['P16']
CC233048,Male,30,17,0,C1,S2,"['P16', 'P17']",['P8']
CC370586,Male,44,16,1,C2,S2,"['P16', 'P21']","['P1', 'P12']"
CC358694,Male,47,44,0,C2,S3,"['P13', 'P20']",['P12']
CC316464,Male,26,12,0,C2,S3,"['P13', 'P21']",['P9']
CC240289,Male,25,17,0,C1,S2,['P16'],['P8']
CC370673,Female,42,15,0,C1,S2,"['P16', 'P17']",['P12']
CC270534,Male,58,34,0,C1,S2,"['P12', 'P13', 'P21']","['P8', 'P10']"
CC211909,Female,29,10,1,C1,S3,['P13'],['P3']
CC383672,Female,44,11,0,C2,S3,['P17'],['P16']
CC373693,Male,35,29,0,C1,S3,"['P13', 'P21']",['P12']
CC357003,Male,41,31,0,C2,S2,['P20'],['P13']
CC396440,Male,25,28,1,C2,S2,['P13'],['P00']
CC396592,Male,25,19,1,C1,S1,['P13'],['P00']
CC227743,Female,41,18,0,C1,S1,['P13'],['P8']
CC394972,Male,51,10,0,C2,S2,['P13'],['P00']
CC372375,Female,53,33,0,C2,S3,['P13'],['P12']
CC371581,Male,30,15,0,C1,S3,"['P16', 'P17', 'P21']","['P10', 'P12']"
CC255826,Male,44,15,0,C2,S3,"['P16', 'P17']",['P6']
CC370993,Male,51,21,1,C1,S2,"['P10', 'P16']",['P1']
CC357594,Male,55,19,0,C2,S3,['P16'],['P10']
CC376480,Male,51,16,1,C1,S2,"['P13', 'P21']",['P12']
CC386644,Male,25,12,0,C2,S1,"['P17', 'P19']",['P16']
CC227604,Male,45,17,0,C1,S2,['P13'],['P6']
CC211566,Male,50,29,0,C1,S2,['P13'],['P3']
CC381374,Female,33,12,0,C1,S1,['P17'],['P16']
CC341556,Male,30,17,0,C2,S1,['P2'],['P00']
CC300198,Male,27,11,0,C1,S3,"['P8', 'P16']","['P1', 'P4']"
CC337080,Male,42,10,0,C2,S2,['P11'],['P00']
CC365527,Male,36,26,0,C1,S3,"['P12', 'P13', 'P19']","['P4', 'P10']"
CC258998,Female,28,49,0,C2,S2,['P13'],['P8']
CC200601,Female,32,22,0,C2,S3,"['P13', 'P17', 'P21']","['P3', 'P8', 'P12']"
CC209517,Female,56,33,0,C1,S2,"['P8', 'P13', 'P20', 'P21']","['P3', 'P4', 'P5', 'P6']"
CC384170,Male,30,12,0,C1,S2,['P00'],['P16']
CC395555,Female,46,29,0,C1,S2,['P13'],['P00']
CC373293,Male,50,35,0,C2,S2,"['P13', 'P17']",['P12']
CC367810,Male,53,19,0,C2,S3,"['P13', 'P21']",['P12']
CC383288,Male,49,12,0,C2,S3,['P17'],['P16']
CC277283,Male,28,31,1,C1,S3,"['P12', 'P13']",['P8']
CC220351,Female,55,26,0,C2,S3,"['P16', 'P21']","['P6', 'P8']"
CC282791,Female,48,13,0,C1,S2,"['P12', 'P13']","['P4', 'P8']"
CC388646,Male,50,11,0,C2,S2,['P16'],['P10']
CC374893,Male,38,15,0,C2,S1,"['P16', 'P17']",['P12']
CC366096,Female,38,48,1,C1,S3,['P18'],['P13']
CC208360,Female,53,34,1,C1,S3,"['P12', 'P13']","['P3', 'P8']"
CC227654,Male,26,17,0,C1,S3,"['P13', 'P19']",['P8']
CC395525,Male,27,30,1,C1,S1,['P13'],['P00']
CC384117,Female,28,12,1,C2,S3,['P17'],['P16']
CC208465,Male,51,15,0,C2,S1,"['P8', 'P13']","['P3', 'P7']"
CC390530,Female,50,11,0,C1,S2,['P21'],['P16']
CC243794,Male,58,16,0,C2,S3,['P16'],['P8']
CC385235,Male,32,12,0,C1,S1,['P17'],['P16']
CC393082,Male,27,18,0,C2,S3,['P16'],['P00']
CC382683,Female,46,12,0,C1,S2,['P21'],['P16']
CC203295,Male,33,28,1,C1,S3,"['P15', 'P17', 'P21']","['P3', 'P8', 'P13']"
CC360972,Male,45,18,0,C1,S2,['P00'],['P13']
